"","sex","age_group","group","OR","CI_upper","CI_lower"
"1","Males","18-64","Model 2",1.000596276,1.001791241,0.999402736
"2","Females","18-64","Model 2",0.999316564,1.001372584,0.997264765
"3","All","18-64","Model 2",1.000242638,1.001292165,0.999194211
"4","Males","5-17","Model 2",1.000478945,1.004222334,0.996749511
"5","Females","5-17","Model 2",1.002891706,1.008731512,0.997085708
"6","All","5-17","Model 2",1.001223878,1.00418139,0.998275077
"7","Males","65+","Model 2",1.003117939,1.005757123,1.00048568
"8","Females","65+","Model 2",1.003900516,1.009683021,0.998151127
"9","All","65+","Model 2",1.003252082,1.005661414,1.000848523
"10","Males","All","Model 2",1.00097129,1.001993948,0.999949676
"11","Females","All","Model 2",1.000114373,1.001847592,0.998384152
"12","All","All","Model 2",1.000745601,1.001624879,0.999867094
"13","Males","18-64","Model 1",1.000599686,1.001794542,0.999406255
"14","Females","18-64","Model 1",0.999321691,1.001377621,0.997269982
"15","All","18-64","Model 1",1.000246622,1.001296003,0.99919834
"16","Males","5-17","Model 1",1.000479518,1.00422271,0.99675028
"17","Females","5-17","Model 1",1.002893555,1.00873431,0.997086619
"18","All","5-17","Model 1",1.001225119,1.004182455,0.998276492
"19","Males","65+","Model 1",1.00311752,1.005756773,1.000485193
"20","Females","65+","Model 1",1.003906961,1.009689689,0.998157353
"21","All","65+","Model 1",1.003252199,1.005661525,1.000848646
"22","Males","All","Model 1",1.000973945,1.001996542,0.999952391
"23","Females","All","Model 1",1.00011909,1.001852195,0.998388983
"24","All","All","Model 1",1.000748846,1.001628065,0.999870399
