lag,group,OR,CI_upper,CI_lower
24h,Model 1,1.006275924,1.011969407,1.000614474
24h,Model 2,1.004003266,1.009737833,0.998301267
48h,Model 1,1.006372485,1.012494865,1.000287126
48h,Model 2,1.003910419,1.01009409,0.997764604
72h,Model 1,1.006078501,1.012572669,0.999625983
72h,Model 2,1.003278252,1.009850845,0.996748436
96h,Model 1,1.005161205,1.011983835,0.998384573
96h,Model 2,1.002108057,1.009023847,0.995239667
120h,Model 1,1.004489711,1.011611179,0.997418375
120h,Model 2,1.001000666,1.008227173,0.993825956
