sex,age_group,group,OR,CI_upper,CI_lower
Males,18-64,Model 2,0.996754418,1.005641796,0.987945583
Females,18-64,Model 2,1.00917115,1.020018853,0.998438809
All,18-64,Model 2,1.00176757,1.008632916,0.994948954
Males,5-17,Model 2,0.989423974,1.017236857,0.962371539
Females,5-17,Model 2,0.974714716,1.011367313,0.939390432
All,5-17,Model 2,0.982945346,1.004982366,0.961391548
Males,65+,Model 2,1.034732977,1.057513929,1.012442772
Females,65+,Model 2,1.037216798,1.072122736,1.00344732
All,65+,Model 2,1.036046172,1.055061893,1.017373176
Males,all,Model 2,1.00083635,1.008750579,0.992984212
Females,all,Model 2,1.008891951,1.018828955,0.999051865
All,all,Model 2,1.00392421,1.010107835,0.997778439
Males,18-64,Model 1,0.999396182,1.008196331,0.990672847
Females,18-64,Model 1,1.011981308,1.022727551,1.00134798
All,18-64,Model 1,1.004429331,1.011228322,0.997676052
Males,5-17,Model 1,0.995488537,1.023045589,0.96867377
Females,5-17,Model 1,0.976146169,1.012392392,0.941197654
All,5-17,Model 1,0.987802549,1.009627521,0.966449365
Males,65+,Model 1,1.033103584,1.055596425,1.011090024
Females,65+,Model 1,1.039901357,1.074459452,1.006454763
All,65+,Model 1,1.03545103,1.054237935,1.016998915
Males,all,Model 1,1.003195936,1.011030254,0.995422325
Females,all,Model 1,1.01155686,1.021399189,1.001809374
All,all,Model 1,1.006382371,1.01250479,1.000296973
