sex,age_group,group,cat,OR,CI_upper,CI_lower
Males,18-64,Model 2,Smoke events,0.996215318,1.00690893,0.985635275
Females,18-64,Model 2,Smoke events,1.014802388,1.028033829,1.001741244
All,18-64,Model 2,Smoke events,1.003685742,1.011989102,0.99545051
Males,5-17,Model 2,Smoke events,1.010531444,1.044514155,0.977654342
Females,5-17,Model 2,Smoke events,1.013565938,1.058288524,0.970733299
All,5-17,Model 2,Smoke events,1.011924464,1.038843964,0.985702527
Males,65+,Model 2,Smoke events,1.017744615,1.047623595,0.988717805
Females,65+,Model 2,Smoke events,0.987038153,1.031932733,0.944096727
All,65+,Model 2,Smoke events,1.00830124,1.0330557,0.984139956
Males,All,Model 2,Smoke events,0.999615104,1.009243507,0.990078559
Females,All,Model 2,Smoke events,1.01237506,1.024546252,1.000348456
All,All,Model 2,Smoke events,1.004587046,1.01212685,0.997103409
Males,18-64,Model 1,Smoke events,0.996719746,1.007414622,0.986138409
Females,18-64,Model 1,Smoke events,1.015346933,1.028580496,1.002283631
All,18-64,Model 1,Smoke events,1.004205877,1.012510367,0.995969499
Males,5-17,Model 1,Smoke events,1.011799835,1.045804804,0.978900559
Females,5-17,Model 1,Smoke events,1.014021007,1.058745606,0.971185711
All,5-17,Model 1,Smoke events,1.012869229,1.039799845,0.986636112
Males,65+,Model 1,Smoke events,1.017551953,1.047417418,0.988538055
Females,65+,Model 1,Smoke events,0.987713464,1.032617322,0.944762271
All,65+,Model 1,Smoke events,1.008343882,1.033091495,0.984189097
Males,All,Model 1,Smoke events,1.000090566,1.009719804,0.990553158
Females,All,Model 1,Smoke events,1.01291447,1.0250875,1.000885996
All,All,Model 1,Smoke events,1.005087139,1.012627796,0.997602636
Males,18-64,Model 2,Major smoke events,1.075649456,1.148799075,1.007157628
Females,18-64,Model 2,Major smoke events,1.046364366,1.13525603,0.964433006
All,18-64,Model 2,Major smoke events,1.064449057,1.120357278,1.011330775
Males,5-17,Model 2,Major smoke events,0.937922568,1.159724502,0.758541138
Females,5-17,Model 2,Major smoke events,0.631685935,0.846837639,0.471196723
All,5-17,Model 2,Major smoke events,0.811741408,0.963693925,0.683748332
Males,65+,Model 2,Major smoke events,1.239122959,1.456346041,1.054300052
Females,65+,Model 2,Major smoke events,1.107051792,1.420084195,0.863021836
All,65+,Model 2,Major smoke events,1.197668855,1.371471399,1.045891797
Males,All,Model 2,Major smoke events,1.083567456,1.148897617,1.021952186
Females,All,Model 2,Major smoke events,1.01279253,1.091489095,0.939770001
All,All,Model 2,Major smoke events,1.056322738,1.106155956,1.008734546
Males,18-64,Model 1,Major smoke events,1.082286761,1.155802753,1.013446828
Females,18-64,Model 1,Major smoke events,1.054255839,1.143706468,0.971801249
All,18-64,Model 1,Major smoke events,1.071573534,1.127789694,1.018159543
Males,5-17,Model 1,Major smoke events,0.951151735,1.175825548,0.769408033
Females,5-17,Model 1,Major smoke events,0.635642312,0.851915387,0.474273801
All,5-17,Model 1,Major smoke events,0.820707476,0.974172668,0.691418251
Males,65+,Model 1,Major smoke events,1.235717218,1.452004236,1.051647788
Females,65+,Model 1,Major smoke events,1.115014881,1.429809171,0.869527354
All,65+,Model 1,Major smoke events,1.197764225,1.371324645,1.046170318
Males,All,Model 1,Major smoke events,1.08973228,1.155356667,1.027835365
Females,All,Model 1,Major smoke events,1.020174934,1.099348231,0.946703571
All,All,Model 1,Major smoke events,1.062960677,1.113047661,1.0151276
